ano,municipio,uf,pop_urbana,pop_agua,pop_esgoto,indice_agua,indice_coleta_esgoto,indice_tratamento_esgoto,indice_perda_agua,investimento,Total,Branca,Preta,Parda,Indígena,perc_branca,perc_preta,perc_parda,perc_indigena,perc_negra,renda_media_estimada
2013,MONTE AZUL PAULISTA,SP,18129.0,19376.0,19376.0,100.0,30.0,100.0,0.0,,18125.0,13036.0,775.0,4293.0,0.0,0.7192275862068965,0.0427586206896551,0.2368551724137931,0.0,0.2796137931034482,1891.4180734856009
2019,OLÍMPIA,SP,51728.0,51728.0,51728.0,100.0,73.51,30.0,19.42,1871348.6,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2021,OLÍMPIA,SP,52394.0,52394.0,52394.0,100.0,86.5,100.0,17.83,64778.0,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2013,OLÍMPIA,SP,49724.0,49724.0,49724.0,100.0,80.0,30.0,28.78,1617672.08,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2020,OLÍMPIA,SP,52066.0,52066.0,52066.0,100.0,96.2,100.0,21.0,2519595.0,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2016,OLÍMPIA,SP,50718.0,50718.0,50718.0,100.0,80.0,30.0,27.34,2775207.46,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2022,OLÍMPIA,SP,,52923.0,52923.0,,93.08,100.0,25.86,5395050.15,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2018,OLÍMPIA,SP,51382.0,51382.0,51382.0,100.0,80.0,29.97,28.69,6709123.1,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2015,OLÍMPIA,SP,50395.0,50395.0,50395.0,100.0,80.0,30.0,27.1,2030400.95,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2017,OLÍMPIA,SP,51034.0,51034.0,51034.0,100.0,79.99,30.0,25.18,405801.68,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2014,OLÍMPIA,SP,50064.0,50064.0,50064.0,100.0,80.0,30.0,25.19,936948.6,54990.0,36068.0,2987.0,15834.0,0.0,0.6559010729223496,0.0543189670849245,0.2879432624113475,0.0,0.342262229496272,1747.0643559855248
2022,SEVERÍNIA,SP,,14576.0,14468.0,,99.89,60.0,0.02,0.0,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2019,SEVERÍNIA,SP,16675.0,17496.0,17496.0,100.0,95.6,97.73,0.0,0.0,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2015,SEVERÍNIA,SP,16018.0,16200.0,16200.0,96.8,69.51,100.0,0.0,,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2016,SEVERÍNIA,SP,16166.0,15501.0,16200.0,95.9,67.27,100.0,0.0,,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2014,SEVERÍNIA,SP,15865.0,16200.0,16200.0,97.7,69.99,100.0,1.57,,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2021,SEVERÍNIA,SP,16984.0,17820.0,17680.0,100.0,95.61,95.0,0.0,0.0,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2018,SEVERÍNIA,SP,16515.0,17328.0,17328.0,100.0,95.33,99.0,0.0,112500.0,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2017,SEVERÍNIA,SP,16312.0,17115.0,17115.0,100.0,100.0,99.33,0.0,5000.0,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2020,SEVERÍNIA,SP,16833.0,17661.0,17601.0,100.0,95.6,95.04,0.0,0.0,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2013,SEVERÍNIA,SP,15709.0,16482.0,16482.0,100.0,70.56,100.0,0.79,,14519.0,7274.0,869.0,6377.0,0.0,0.500998691369929,0.0598526069288518,0.4392175769681107,0.0,0.4990701838969626,1437.4553719008263
2013,TERRA ROXA,SP,8549.0,7985.0,8549.0,93.4,83.42,100.0,30.05,227065.82,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2016,TERRA ROXA,SP,8735.0,7433.0,7898.0,85.1,100.0,100.0,38.35,101299.17,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2014,TERRA ROXA,SP,8613.0,8045.0,7935.0,93.4,86.84,100.0,35.32,149566.86,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2020,TERRA ROXA,SP,8995.0,7931.0,8333.0,88.2,99.39,100.0,20.46,359087.51,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2019,TERRA ROXA,SP,8932.0,7817.0,8244.0,87.5,100.0,100.0,23.84,148263.95,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2022,TERRA ROXA,SP,,7661.0,7699.0,,100.0,100.0,17.3,121599.28,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2018,TERRA ROXA,SP,8867.0,7700.0,8129.0,86.8,100.0,100.0,26.3,224851.39,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2021,TERRA ROXA,SP,9057.0,8127.0,8514.0,89.7,100.0,100.0,17.95,235575.86,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2015,TERRA ROXA,SP,8675.0,7342.0,7839.0,84.6,87.21,100.0,43.65,45547.28,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
2017,TERRA ROXA,SP,8795.0,7550.0,7984.0,85.8,100.0,100.0,26.34,35523.55,7872.0,4685.0,358.0,2738.0,26.0,0.5951473577235772,0.0454776422764227,0.3478150406504065,0.0033028455284552,0.3932926829268293,1664.0365853658536
